date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:41	159999/159999	---M--	200	added ('OK')	image/jpeg	etag:%2222823bc-270ff-5a00470c7aa00%22	https://bendarby.co.uk/assets/img/portrait.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/portrait.jpg	(from https://bendarby.co.uk/about/)
14:32:41	21245/21245	---M--	200	added ('OK')	image/svg+xml	etag:%22228238a-52fd-5a00470a92580%22	https://bendarby.co.uk/assets/icons/source/ux.svg	D:/NEW/ew4few/bendarby.co.uk/assets/icons/source/ux.svg	(from https://bendarby.co.uk/about/)
14:32:41	878/878	---M--	200	added ('OK')	image/svg+xml	etag:%2222823a6-36e-5a00f11bb6280%22	https://bendarby.co.uk/assets/img/flourish-grey.svg	D:/NEW/ew4few/bendarby.co.uk/assets/img/flourish-grey.svg	(from https://bendarby.co.uk/about/)
14:32:42	4555/4555	---M--	200	added ('OK')	image/svg+xml	etag:%222282387-11cb-5a0047099e340%22	https://bendarby.co.uk/assets/icons/source/quotes.svg	D:/NEW/ew4few/bendarby.co.uk/assets/icons/source/quotes.svg	(from https://bendarby.co.uk/about/)
14:32:42	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Jan%202023%2009:02:41%20GMT	https://bendarby.co.uk/about/js/vendor/jquery-2.1.4.min.js	D:/NEW/ew4few/bendarby.co.uk/about/js/vendor/jquery-2.1.4.min.js	(from https://bendarby.co.uk/about/)
14:32:42	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202023%2009:02:41%20GMT	https://bendarby.co.uk/work/development-initiatives	D:/NEW/ew4few/bendarby.co.uk/work/development-initiatives	(from https://bendarby.co.uk/work/)
14:32:42	11347/11347	---M-Z	200	added ('OK')	text/html	etag:%222282345-2c53-5aa09959bda40-gzip%22	https://bendarby.co.uk/work/development-initiatives/	D:/NEW/ew4few/bendarby.co.uk/work/development-initiatives/index.html	(from https://bendarby.co.uk/work/)
14:32:43	8464/8464	---M--	200	added ('OK')	image/svg+xml	etag:%22228239b-2110-5a00470b867c0%22	https://bendarby.co.uk/assets/img/di-logo.svg	D:/NEW/ew4few/bendarby.co.uk/assets/img/di-logo.svg	(from https://bendarby.co.uk/work/)
14:32:43	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202023%2009:02:42%20GMT	https://bendarby.co.uk/work/global-nutrition-report	D:/NEW/ew4few/bendarby.co.uk/work/global-nutrition-report	(from https://bendarby.co.uk/work/)
14:32:43	6238/6238	---M--	200	added ('OK')	image/svg+xml	etag:%2222823ad-185e-5a00470c7aa00%22	https://bendarby.co.uk/assets/img/gnr-logo.svg	D:/NEW/ew4few/bendarby.co.uk/assets/img/gnr-logo.svg	(from https://bendarby.co.uk/work/)
14:32:44	123710/123710	---M--	200	added ('OK')	image/jpeg	etag:%2222823a1-1e33e-5a00470b867c0%22	https://bendarby.co.uk/assets/img/di-work.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/di-work.jpg	(from https://bendarby.co.uk/work/)
14:32:44	12000/12000	---M-Z	200	added ('OK')	text/html	etag:%22228234b-2ee0-5aa09959bda40-gzip%22	https://bendarby.co.uk/work/global-nutrition-report/	D:/NEW/ew4few/bendarby.co.uk/work/global-nutrition-report/index.html	(from https://bendarby.co.uk/work/)
14:32:44	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202023%2009:02:44%20GMT	https://bendarby.co.uk/work/arc-west	D:/NEW/ew4few/bendarby.co.uk/work/arc-west.38.delayed	(from https://bendarby.co.uk/work/)
14:32:45	2049/2049	---M--	200	added ('OK')	image/svg+xml	etag:%22228236b-801-5a00470a92580%22	https://bendarby.co.uk/assets/img/arc-logo.svg	D:/NEW/ew4few/bendarby.co.uk/assets/img/arc-logo.svg	(from https://bendarby.co.uk/work/)
14:32:45	10827/10827	---M-Z	200	added ('OK')	text/html	etag:%222282336-2a4b-5aa09959bda40-gzip%22	https://bendarby.co.uk/work/arc-west/	D:/NEW/ew4few/bendarby.co.uk/work/arc-west/index.html	(from https://bendarby.co.uk/work/)
14:32:45	189099/189099	---M--	200	added ('OK')	image/jpeg	etag:%2222823b5-2e2ab-5a00470c7aa00%22	https://bendarby.co.uk/assets/img/gnr-work.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/gnr-work.jpg	(from https://bendarby.co.uk/work/)
14:32:45	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jan%202023%2009:02:44%20GMT	https://bendarby.co.uk/work/bluehealth	D:/NEW/ew4few/bendarby.co.uk/work/bluehealth	(from https://bendarby.co.uk/work/)
14:32:45	9708/9708	---M--	200	added ('OK')	image/svg+xml	etag:%222282390-25ec-5a00470a92580%22	https://bendarby.co.uk/assets/img/bluehealth-logo.svg	D:/NEW/ew4few/bendarby.co.uk/assets/img/bluehealth-logo.svg	(from https://bendarby.co.uk/work/)
14:32:46	235010/235010	---M--	200	added ('OK')	image/jpeg	etag:%222282389-39602-5a00470a92580%22	https://bendarby.co.uk/assets/img/arc-work.jpg	D:/NEW/ew4few/bendarby.co.uk/assets/img/arc-work.jpg	(from https://bendarby.co.uk/work/)
